title,year,tags,type_of_document,origin_of_document,caption,authors_of_document,collections,thumbs,url
OpenReview - Ninon Burgos,2022,"[ ""Ninon Burgos"" ]",profil,Site d'OpenReview,Liste des publications et postes de N. Burgos sur OpenReview,Ninon Burgos,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/openreview-ninon-burgos.pdf.0.png.180.jpeg?v=1654782068549"",""size"":180},{""path"":""_thumbs/shaping-ai/openreview-ninon-burgos.pdf.0.png.360.jpeg?v=1654782068601"",""size"":360},{""path"":""_thumbs/shaping-ai/openreview-ninon-burgos.pdf.0.png.600.jpeg?v=1654782068587"",""size"":600},{""path"":""_thumbs/shaping-ai/openreview-ninon-burgos.pdf.0.png.800.jpeg?v=1654782068710"",""size"":800},{""path"":""_thumbs/shaping-ai/openreview-ninon-burgos.pdf.0.png.1600.jpeg?v=1654782068684"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_154047-fk8
Computer-aided diagnosis from neuroimages,2020,"[ ""Ninon Burgos"" ]",vidéo,Youtube,Présentation de N. Burgos lors du 3e colloque sur l'imagerie médicale à l'heure de l'IA,Ninon Burgos,"[ ""1.5. Institutionnaliser l'IA comme discipline"", ""1.2. Mettre en données le monde"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/burgos-slides-computer-aided-diagnosis-from-neuroimages.pdf.0.png.180.jpeg?v=1654789666314"",""size"":180},{""path"":""_thumbs/shaping-ai/burgos-slides-computer-aided-diagnosis-from-neuroimages.pdf.0.png.360.jpeg?v=1654789666355"",""size"":360},{""path"":""_thumbs/shaping-ai/burgos-slides-computer-aided-diagnosis-from-neuroimages.pdf.0.png.600.jpeg?v=1654789666329"",""size"":600},{""path"":""_thumbs/shaping-ai/burgos-slides-computer-aided-diagnosis-from-neuroimages.pdf.0.png.800.jpeg?v=1654789666344"",""size"":800},{""path"":""_thumbs/shaping-ai/burgos-slides-computer-aided-diagnosis-from-neuroimages.pdf.0.png.1600.jpeg?v=1654789666570"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_174705-msy
Wiener - God and Golem,1964,"[ ""RYBN"" ]",livre,,,Norbert Wiener,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""2.1. Performer le social"", ""2.2. Produire une critique de l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/wiener-god-golem-inc.pdf.0.png.180.jpeg?v=1654790785823"",""size"":180},{""path"":""_thumbs/shaping-ai/wiener-god-golem-inc.pdf.0.png.360.jpeg?v=1654790785867"",""size"":360},{""path"":""_thumbs/shaping-ai/wiener-god-golem-inc.pdf.0.png.600.jpeg?v=1654790785844"",""size"":600},{""path"":""_thumbs/shaping-ai/wiener-god-golem-inc.pdf.0.png.800.jpeg?v=1654790785870"",""size"":800},{""path"":""_thumbs/shaping-ai/wiener-god-golem-inc.pdf.0.png.1600.jpeg?v=1654790786066"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_180614-zbm
The rise of pseudo AI: how firms use humans to do bots,2018,"[ ""RYBN"" ]",article de presse,The Guardian,,Olivia Solon,"[ ""2.1. Performer le social"", ""3.4. Travailler avec l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/the-rise-of-pseudo-ai-how-tech-firms-quietly-use-humans-to-do-bots-work-artificial-intelligence-ai-the-guardian.pdf.0.png.180.jpeg?v=1654790697972"",""size"":180},{""path"":""_thumbs/shaping-ai/the-rise-of-pseudo-ai-how-tech-firms-quietly-use-humans-to-do-bots-work-artificial-intelligence-ai-the-guardian.pdf.0.png.360.jpeg?v=1654790698029"",""size"":360},{""path"":""_thumbs/shaping-ai/the-rise-of-pseudo-ai-how-tech-firms-quietly-use-humans-to-do-bots-work-artificial-intelligence-ai-the-guardian.pdf.0.png.600.jpeg?v=1654790697989"",""size"":600},{""path"":""_thumbs/shaping-ai/the-rise-of-pseudo-ai-how-tech-firms-quietly-use-humans-to-do-bots-work-artificial-intelligence-ai-the-guardian.pdf.0.png.800.jpeg?v=1654790698628"",""size"":800},{""path"":""_thumbs/shaping-ai/the-rise-of-pseudo-ai-how-tech-firms-quietly-use-humans-to-do-bots-work-artificial-intelligence-ai-the-guardian.pdf.0.png.1600.jpeg?v=1654790698094"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_180433-wnv
Applied Deep Learning with Python,2022,"[ ""Charles Ollion"" ]",maquette pédagogique,Site de l'Ecole Polytechnique,"Descriptif du cours ""Applied Deep Learning with Python"" du master ""Data Science"" de l'Ecole Polytechnique",Olivier Grisel & Charles Ollion,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/polytechnique-applied-deep-learning-with-python.pdf.0.png.180.jpeg?v=1654598737586"",""size"":180},{""path"":""_thumbs/shaping-ai/polytechnique-applied-deep-learning-with-python.pdf.0.png.360.jpeg?v=1654598737730"",""size"":360},{""path"":""_thumbs/shaping-ai/polytechnique-applied-deep-learning-with-python.pdf.0.png.600.jpeg?v=1654598737752"",""size"":600},{""path"":""_thumbs/shaping-ai/polytechnique-applied-deep-learning-with-python.pdf.0.png.800.jpeg?v=1654598737865"",""size"":800},{""path"":""_thumbs/shaping-ai/polytechnique-applied-deep-learning-with-python.pdf.0.png.1600.jpeg?v=1654598737590"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_124520-kyy
Rapport de l'OPECST - 2017,2017,"[ ""Cédric Buron"", ""Dominique Cardon"" ]",rapport,Sénat,"Rapport sur l'IA de l'Office parlementaire d’évaluation des choix scientifiques et technologiques, commission composée de sénateurs et de parlementaires.",OPECST,"[ ""0. Des modes de participation à l'IA"", ""1.1. Définir l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/r16-464-11.pdf.0.png.180.jpeg?v=1673868791576"",""size"":180},{""path"":""_thumbs/shaping-ai/r16-464-11.pdf.0.png.360.jpeg?v=1673868791611"",""size"":360},{""path"":""_thumbs/shaping-ai/r16-464-11.pdf.0.png.600.jpeg?v=1673868791603"",""size"":600},{""path"":""_thumbs/shaping-ai/r16-464-11.pdf.0.png.800.jpeg?v=1673868791721"",""size"":800},{""path"":""_thumbs/shaping-ai/r16-464-11.pdf.0.png.1600.jpeg?v=1673868791695"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230116_123246-4cm
Livre blanc sur l'Open Data des décisions de justice (Open Law),2017,"[ ""Sumi Saint-Auguste"" ]",livre blanc,Open Law,"Synthèse des travaux menés dans le cadre du programme Open ""Case"" Law par l'association Open Law (droit ouvert) avec un schéma qui montre les étapes de production, diffusion et utilisation de cette open data avec les acteurs clés.",Open Law,"[ ""1.2. Mettre en données le monde"", ""3.1. Appliquer l'IA (de la recherche au business)"", ""4.2. Chaînes de valeur de la donnée"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/sumi-docs-4.pdf.0.png.180.jpeg?v=1654805239204"",""size"":180},{""path"":""_thumbs/shaping-ai/sumi-docs-4.pdf.0.png.360.jpeg?v=1654805239268"",""size"":360},{""path"":""_thumbs/shaping-ai/sumi-docs-4.pdf.0.png.600.jpeg?v=1654805239242"",""size"":600},{""path"":""_thumbs/shaping-ai/sumi-docs-4.pdf.0.png.800.jpeg?v=1654805239347"",""size"":800},{""path"":""_thumbs/shaping-ai/sumi-docs-4.pdf.0.png.1600.jpeg?v=1654805239328"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_220523-u6c
Travail d'annotation - Programme Open Law,2017,"[ ""Sumi Saint-Auguste"" ]",compte rendu,Open Law,"Vue de l'interface de l'outil d'annotation Open source Brat, utilisé par le programme d'initiation IA et Droit proposé par Open Law aux professionnels du droit. Taxonomie utilisée par les juristes pour l'annotation.",Open Law,"[ ""3.4. Travailler avec l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/sumi-docs-24.pdf.0.png.180.jpeg?v=1654350387494"",""size"":180},{""path"":""_thumbs/shaping-ai/sumi-docs-24.pdf.0.png.360.jpeg?v=1654350387642"",""size"":360},{""path"":""_thumbs/shaping-ai/sumi-docs-24.pdf.0.png.600.jpeg?v=1654350387667"",""size"":600},{""path"":""_thumbs/shaping-ai/sumi-docs-24.pdf.0.png.800.jpeg?v=1654350387778"",""size"":800},{""path"":""_thumbs/shaping-ai/sumi-docs-24.pdf.0.png.1600.jpeg?v=1654350387494"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220604_154611-vww
Atelier de Design Fiction en droit,2021,"[ ""Sumi Saint-Auguste"" ]",programme,Les rendez-vous transformations du droit,Scénarios de réutilisation de l'open data des décisions de justice. Atelier dans le cadre des rendez-vous transformations du droit 2021 proposé par Open Law et Sumi Saint Auguste. Inspiré du travail mené en Legal Design.,Open Law,"[ ""4.2. Chaînes de valeur de la donnée"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/sumi-designfiction.pdf.0.png.180.jpeg?v=1654805360426"",""size"":180},{""path"":""_thumbs/shaping-ai/sumi-designfiction.pdf.0.png.360.jpeg?v=1654805360573"",""size"":360},{""path"":""_thumbs/shaping-ai/sumi-designfiction.pdf.0.png.600.jpeg?v=1654805360451"",""size"":600},{""path"":""_thumbs/shaping-ai/sumi-designfiction.pdf.0.png.800.jpeg?v=1654805360469"",""size"":800},{""path"":""_thumbs/shaping-ai/sumi-designfiction.pdf.0.png.1600.jpeg?v=1654805360560"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_220843-60d
Glossaire Droit et IA d'Open Law,2022,"[ ""Cécile Crichton"", ""Sumi Saint-Auguste"" ]",présentation (projet),Agorasso,"Intelligence Artificielle et Droit : un Glossaire. Elaboration d'une ressource de type glossaire pour les professionnels du droit, produite par Open Law (association).",Open Law,"[ ""4.2. Chaînes de valeur de la donnée"", ""1.1. Définir l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/sumi-docs-6.pdf.0.png.180.jpeg?v=1654802391539"",""size"":180},{""path"":""_thumbs/shaping-ai/sumi-docs-6.pdf.0.png.360.jpeg?v=1654802391573"",""size"":360},{""path"":""_thumbs/shaping-ai/sumi-docs-6.pdf.0.png.600.jpeg?v=1654802391565"",""size"":600},{""path"":""_thumbs/shaping-ai/sumi-docs-6.pdf.0.png.800.jpeg?v=1654802391679"",""size"":800},{""path"":""_thumbs/shaping-ai/sumi-docs-6.pdf.0.png.1600.jpeg?v=1654802391652"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_151704-wkl
Restitution du programme IA et Droit / Données d'apprentissage d'Open Law,2017,"[ ""Sumi Saint-Auguste"" ]",rapport,Open Law,"Présentation du programme et restitution des principaux travaux menés avec les leços apprises, notamment sur le travail d'annotation et la formation à ce travail.",Open Law,"[ ""4.2. Chaînes de valeur de la donnée"", ""3.4. Travailler avec l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/document-18-livre-blanc-open-law.pdf.0.png.180.jpeg?v=1654804295340"",""size"":180},{""path"":""_thumbs/shaping-ai/document-18-livre-blanc-open-law.pdf.0.png.360.jpeg?v=1654804295382"",""size"":360},{""path"":""_thumbs/shaping-ai/document-18-livre-blanc-open-law.pdf.0.png.600.jpeg?v=1654804295375"",""size"":600},{""path"":""_thumbs/shaping-ai/document-18-livre-blanc-open-law.pdf.0.png.800.jpeg?v=1654804295483"",""size"":800},{""path"":""_thumbs/shaping-ai/document-18-livre-blanc-open-law.pdf.0.png.1600.jpeg?v=1654804295447"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_215108-t5t
Points clés des feuilles de route ministérielle sur les politiques publiques des données,2021,"[ ""PA Chevalier"" ]",datavisualisation,data.gouv,"Par une circulaire du 27 avril 2021 ((https://www.legifrance.gouv.fr/circulaire/id/45162)), qui s’appuie sur les préconisations du rapport du député Éric Bothorel qui lui avait été remis le 23 décembre dernier, le Premier ministre demande à l’ensemble des ministères de s’engager sur une feuille de route de sur l’ouverture, la circulation et l’exploitation des données, des algorithmes et des codes sources. Ce tableau permet de visualiser l’ensemble des engagements des ministères pris dans leurs feuilles de route (source (https://www.data.gouv.fr/fr/datasets/liste-des-actions-prises-par-les-ministeres-dans-le-cadre-des-feuilles-de-routes-ministerielles/))",PA Chevalier,"[ ""2.5. Instrumenter l'action publique"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/les-feuilles-de-route-data-des-ministe-res.pdf.0.png.180.jpeg?v=1688464311591"",""size"":180},{""path"":""_thumbs/shaping-ai/les-feuilles-de-route-data-des-ministe-res.pdf.0.png.360.jpeg?v=1688464311626"",""size"":360},{""path"":""_thumbs/shaping-ai/les-feuilles-de-route-data-des-ministe-res.pdf.0.png.600.jpeg?v=1688464311606"",""size"":600},{""path"":""_thumbs/shaping-ai/les-feuilles-de-route-data-des-ministe-res.pdf.0.png.800.jpeg?v=1688464311629"",""size"":800},{""path"":""_thumbs/shaping-ai/les-feuilles-de-route-data-des-ministe-res.pdf.0.png.1600.jpeg?v=1688464311828"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_115136-orw
Tweeting From Left to Right: Is Online Political Communication More Than an Echo Chamber?,2015,"[ ""P.Ramaciotti Morales"" ]",article scientifique,Psychological Science,Polarisation et echo chambers sur Twitter à partir de l'estimation du positionnement idéologique de 3.8 million d'utilisateurs de Twitter,"Pablo Barbera, John T. Jost, Jonathan Nagler, Joshua A. Tucker, Richard Bonneau","[ ""1.3. Modéliser"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/barbera2015.pdf.0.png.180.jpeg?v=1654961282276"",""size"":180},{""path"":""_thumbs/shaping-ai/barbera2015.pdf.0.png.360.jpeg?v=1654961282337"",""size"":360},{""path"":""_thumbs/shaping-ai/barbera2015.pdf.0.png.600.jpeg?v=1654961282286"",""size"":600},{""path"":""_thumbs/shaping-ai/barbera2015.pdf.0.png.800.jpeg?v=1654961282399"",""size"":800},{""path"":""_thumbs/shaping-ai/barbera2015.pdf.0.png.1600.jpeg?v=1654961282371"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_172737-ukd
US cities are backing off banning Facial Recognition,2022,"[ ""Marie Lechner"" ]",article de presse,Reuters,,Paresh Dave (Reuters),"[ ""2.4. Réguler l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/reuteurs-ban-backoff.pdf.0.png.180.jpeg?v=1688465178504"",""size"":180},{""path"":""_thumbs/shaping-ai/reuteurs-ban-backoff.pdf.0.png.360.jpeg?v=1688465178543"",""size"":360},{""path"":""_thumbs/shaping-ai/reuteurs-ban-backoff.pdf.0.png.600.jpeg?v=1688465178531"",""size"":600},{""path"":""_thumbs/shaping-ai/reuteurs-ban-backoff.pdf.0.png.800.jpeg?v=1688465178554"",""size"":800},{""path"":""_thumbs/shaping-ai/reuteurs-ban-backoff.pdf.0.png.1600.jpeg?v=1688465178729"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_120555-xwc
Data Governance Act / Proposition de règlement du Parlement Européen,2020,"[ ""Cécile Crichton"" ]",texte législatif,Commission Européenne,Proposition de règlement du Parlement Européen sur la gouvernance européenne des données,Parlement Européen,"[ ""1.1. Définir l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/commission-europe-enne-re-glement-du-parlement-europe-en-et-du-consseil-sur-la-gouvernance-europenne-des-donne-es.pdf.0.png.180.jpeg?v=1653916523556"",""size"":180},{""path"":""_thumbs/shaping-ai/commission-europe-enne-re-glement-du-parlement-europe-en-et-du-consseil-sur-la-gouvernance-europenne-des-donne-es.pdf.0.png.360.jpeg?v=1653916523725"",""size"":360},{""path"":""_thumbs/shaping-ai/commission-europe-enne-re-glement-du-parlement-europe-en-et-du-consseil-sur-la-gouvernance-europenne-des-donne-es.pdf.0.png.600.jpeg?v=1653916523830"",""size"":600},{""path"":""_thumbs/shaping-ai/commission-europe-enne-re-glement-du-parlement-europe-en-et-du-consseil-sur-la-gouvernance-europenne-des-donne-es.pdf.0.png.800.jpeg?v=1653916523734"",""size"":800},{""path"":""_thumbs/shaping-ai/commission-europe-enne-re-glement-du-parlement-europe-en-et-du-consseil-sur-la-gouvernance-europenne-des-donne-es.pdf.0.png.1600.jpeg?v=1653916523568"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_151252-gwh
Directive sur la réutilisation des informations du secteur public,2003,"[ ""Sumi Saint-Auguste"" ]",directive,Journal officiel de l'Union Européenne,Directive du Parlement Européen sur la réutilisation des informations du secteur public établissant un marché intérieur.,Parlement Européen,"[ ""1.2. Mettre en données le monde"", ""4.2. Chaînes de valeur de la donnée"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/document-12-directive-psi.pdf.0.png.180.jpeg?v=1654536504969"",""size"":180},{""path"":""_thumbs/shaping-ai/document-12-directive-psi.pdf.0.png.360.jpeg?v=1654536505099"",""size"":360},{""path"":""_thumbs/shaping-ai/document-12-directive-psi.pdf.0.png.600.jpeg?v=1654536505141"",""size"":600},{""path"":""_thumbs/shaping-ai/document-12-directive-psi.pdf.0.png.800.jpeg?v=1654536505153"",""size"":800},{""path"":""_thumbs/shaping-ai/document-12-directive-psi.pdf.0.png.1600.jpeg?v=1654536505089"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_190011-4kk
RGPD,2016,"[ ""Cécile Crichton"", ""Hugo Ruggieri"" ]",texte législatif,Journal Officiel de l'Union Européenne,"Règlement Général sur la Protection des Données (RGPD), relatif à la protection des personnes physiques à l'égard du traitement des données à caractère personnel et à la libre circulation de ces données,",Parlement Européen,"[ ""2.4. Réguler l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/rgpd.pdf.0.png.180.jpeg?v=1654025489588"",""size"":180},{""path"":""_thumbs/shaping-ai/rgpd.pdf.0.png.360.jpeg?v=1654025489727"",""size"":360},{""path"":""_thumbs/shaping-ai/rgpd.pdf.0.png.600.jpeg?v=1654025489812"",""size"":600},{""path"":""_thumbs/shaping-ai/rgpd.pdf.0.png.800.jpeg?v=1654025489910"",""size"":800},{""path"":""_thumbs/shaping-ai/rgpd.pdf.0.png.1600.jpeg?v=1654025489583"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_213119-b2z
IA Act / Proposition de règlement du Parlement Européen,2021,"[ ""Cécile Crichton"", ""PA Chevalier"", ""Sumi Saint-Auguste"", ""Hugo Ruggieri"", ""Célia Zolynski"", ""Eric Gaussier"", ""P.Ramaciotti Morales"", ""William Eldin"" ]",texte législatif,Commission Européenne,Proposition de règlement du Parlement Européen et du conseil établissant des règles harmonisées concernant l'intelligence artificielle.,Parlement Européen,"[ ""2.4. Réguler l’IA"", ""1.1. Définir l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/proposition-de-re-glement-ia.pdf.0.png.180.jpeg?v=1653917634320"",""size"":180},{""path"":""_thumbs/shaping-ai/proposition-de-re-glement-ia.pdf.0.png.360.jpeg?v=1653917634447"",""size"":360},{""path"":""_thumbs/shaping-ai/proposition-de-re-glement-ia.pdf.0.png.600.jpeg?v=1653917634483"",""size"":600},{""path"":""_thumbs/shaping-ai/proposition-de-re-glement-ia.pdf.0.png.800.jpeg?v=1653917634582"",""size"":800},{""path"":""_thumbs/shaping-ai/proposition-de-re-glement-ia.pdf.0.png.1600.jpeg?v=1653917634314"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_153335-p7m
La Banque de France automatise son expertise,1996,"[ ""Eric Gaussier"" ]",article de presse,Les Echos,Article des Echos à propos d'un dispositif d'aide au diganostic développé au sein du Centre d'Intelligence Artificielle (CIA) de la Banque de France,Paul Molga,"[ ""3.2. Expérimenter l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/les-echos-la-banque-de-france-automatise-son-expertise.pdf.0.png.180.jpeg?v=1654181332863"",""size"":180},{""path"":""_thumbs/shaping-ai/les-echos-la-banque-de-france-automatise-son-expertise.pdf.0.png.360.jpeg?v=1654181332997"",""size"":360},{""path"":""_thumbs/shaping-ai/les-echos-la-banque-de-france-automatise-son-expertise.pdf.0.png.600.jpeg?v=1654181333026"",""size"":600},{""path"":""_thumbs/shaping-ai/les-echos-la-banque-de-france-automatise-son-expertise.pdf.0.png.800.jpeg?v=1654181333045"",""size"":800},{""path"":""_thumbs/shaping-ai/les-echos-la-banque-de-france-automatise-son-expertise.pdf.0.png.1600.jpeg?v=1654181332968"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_164834-d9n
Rapid Object Detection using a Boosted Cascade of Simple Features,2001,"[ ""Alexandre Défossez"" ]",article scientifique,Conference on Computer Vision and Pattern Recognition,Article introduisant une nouvelle approche de machine learning pour la détection d'objet visuel,Paul Viola & Michael Jones,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""1.4. Écologiser l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/viola-jones-rapid-object-detection-using-a-boosted-cascade-of-simple-features-1.pdf.0.png.180.jpeg?v=1655119561880"",""size"":180},{""path"":""_thumbs/shaping-ai/viola-jones-rapid-object-detection-using-a-boosted-cascade-of-simple-features-1.pdf.0.png.360.jpeg?v=1655119561939"",""size"":360},{""path"":""_thumbs/shaping-ai/viola-jones-rapid-object-detection-using-a-boosted-cascade-of-simple-features-1.pdf.0.png.600.jpeg?v=1655119561990"",""size"":600},{""path"":""_thumbs/shaping-ai/viola-jones-rapid-object-detection-using-a-boosted-cascade-of-simple-features-1.pdf.0.png.800.jpeg?v=1655119561912"",""size"":800},{""path"":""_thumbs/shaping-ai/viola-jones-rapid-object-detection-using-a-boosted-cascade-of-simple-features-1.pdf.0.png.1600.jpeg?v=1655119561982"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_130202-s7h
The Master Algorithm,2015,"[ ""Dominique Cardon"" ]",livre,Basic Books,"Couverture du livre de Pedro Domingos, intitulé ""The Master Algorithm. How the Quest for the Ultimate Learning Machine Will Remake Our World""",Pedro Domingos,"[ ""2.1. Performer le social"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/domingos-the-master-algorithm.pdf.0.png.180.jpeg?v=1653925504123"",""size"":180},{""path"":""_thumbs/shaping-ai/domingos-the-master-algorithm.pdf.0.png.360.jpeg?v=1653925504264"",""size"":360},{""path"":""_thumbs/shaping-ai/domingos-the-master-algorithm.pdf.0.png.600.jpeg?v=1653925504294"",""size"":600},{""path"":""_thumbs/shaping-ai/domingos-the-master-algorithm.pdf.0.png.800.jpeg?v=1653925504386"",""size"":800},{""path"":""_thumbs/shaping-ai/domingos-the-master-algorithm.pdf.0.png.1600.jpeg?v=1653925504114"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_174455-day
Page Github - Hinpy,2021,"[ ""P.Ramaciotti Morales"" ]",logiciel,Github,"Page github du reop HINPy, démarré et géré par Pedro Ramaciotti Morales.",Pedro Ramaciotti Morales,"[ ""1.5. Institutionnaliser l'IA comme discipline"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/github-hinpy02.pdf.0.png.180.jpeg?v=1655069569751"",""size"":180},{""path"":""_thumbs/shaping-ai/github-hinpy02.pdf.0.png.360.jpeg?v=1655069569795"",""size"":360},{""path"":""_thumbs/shaping-ai/github-hinpy02.pdf.0.png.600.jpeg?v=1655069569788"",""size"":600},{""path"":""_thumbs/shaping-ai/github-hinpy02.pdf.0.png.800.jpeg?v=1655069569947"",""size"":800},{""path"":""_thumbs/shaping-ai/github-hinpy02.pdf.0.png.1600.jpeg?v=1655069569885"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_233218-b8x
Auditing the Effect of Social Network Recommendations on Polarization in Geometrical Ideological Spaces,2021,"[ ""P.Ramaciotti Morales"" ]",article scientifique,HAL,,"Pedro Ramaciotti Morales, Jean-Philippe Cointet","[ ""3.3. Optimiser les algorithmes"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/ramaciotti-morales-polarisation-recommendation-social-networks.pdf.0.png.180.jpeg?v=1654025413414"",""size"":180},{""path"":""_thumbs/shaping-ai/ramaciotti-morales-polarisation-recommendation-social-networks.pdf.0.png.360.jpeg?v=1654025413569"",""size"":360},{""path"":""_thumbs/shaping-ai/ramaciotti-morales-polarisation-recommendation-social-networks.pdf.0.png.600.jpeg?v=1654025413592"",""size"":600},{""path"":""_thumbs/shaping-ai/ramaciotti-morales-polarisation-recommendation-social-networks.pdf.0.png.800.jpeg?v=1654025413723"",""size"":800},{""path"":""_thumbs/shaping-ai/ramaciotti-morales-polarisation-recommendation-social-networks.pdf.0.png.1600.jpeg?v=1654025413416"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_212830-9or
Towards the Systemic Reporting of the Energy and Carbon Footprints of Machine Learning,2020,"[ ""Alexandre Défossez"" ]",article scientifique,arXiv,Article collectif autour de la prise en compte de l'empreinte énergétique et carbone du machine learning,"Peter Henderson, Jieru Hu, Joshua Romoff, Emma Brunskill, Dan Jurafsky & Joelle Pineau","[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""1.4. Écologiser l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/henderson-et-al-towards-the-systematic-reporting-of-the-energy-and-carbon-footprints-of-machine-learning.pdf.0.png.180.jpeg?v=1654167512147"",""size"":180},{""path"":""_thumbs/shaping-ai/henderson-et-al-towards-the-systematic-reporting-of-the-energy-and-carbon-footprints-of-machine-learning.pdf.0.png.360.jpeg?v=1654167512273"",""size"":360},{""path"":""_thumbs/shaping-ai/henderson-et-al-towards-the-systematic-reporting-of-the-energy-and-carbon-footprints-of-machine-learning.pdf.0.png.600.jpeg?v=1654167512282"",""size"":600},{""path"":""_thumbs/shaping-ai/henderson-et-al-towards-the-systematic-reporting-of-the-energy-and-carbon-footprints-of-machine-learning.pdf.0.png.800.jpeg?v=1654167512314"",""size"":800},{""path"":""_thumbs/shaping-ai/henderson-et-al-towards-the-systematic-reporting-of-the-energy-and-carbon-footprints-of-machine-learning.pdf.0.png.1600.jpeg?v=1654167512243"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_125822-grd
